Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,35.89073181152344,39.95000076293945,40.150001525878906,39.5,40.0,3806516
2023-01-03,35.75597381591797,39.79999923706055,40.20000076293945,39.650001525878906,40.0,3768286
2023-01-04,35.711055755615234,39.75,39.95000076293945,38.849998474121094,39.900001525878906,15048142
2023-01-05,35.21693801879883,39.20000076293945,40.099998474121094,38.849998474121094,40.0,7073157
2023-01-06,35.53137969970703,39.54999923706055,39.79999923706055,39.099998474121094,39.400001525878906,13398100
2023-01-09,35.3067741394043,39.29999923706055,39.75,39.20000076293945,39.75,8260924
2023-01-10,35.17202377319336,39.150001525878906,39.650001525878906,39.0,39.45000076293945,8024084
2023-01-11,35.17202377319336,39.150001525878906,39.45000076293945,38.70000076293945,39.20000076293945,5191931
2023-01-12,34.992340087890625,38.95000076293945,39.25,38.79999923706055,39.25,3819809
2023-01-13,34.90250015258789,38.849998474121094,39.25,38.70000076293945,39.0,5490674
2023-01-16,35.3067741394043,39.29999923706055,39.70000076293945,38.70000076293945,39.0,11980108
2023-01-17,36.78912353515625,40.95000076293945,41.650001525878906,39.349998474121094,39.5,34015688
2023-01-18,37.77735137939453,42.04999923706055,42.5,40.70000076293945,41.04999923706055,27240347
2023-01-19,37.417999267578125,41.650001525878906,42.650001525878906,41.0,42.5,21028311
2023-01-20,38.27146911621094,42.599998474121094,43.099998474121094,41.5,41.650001525878906,26478077
2023-01-23,38.45115280151367,42.79999923706055,43.349998474121094,42.54999923706055,42.95000076293945,10012982
2023-01-24,39.080020904541016,43.5,43.900001525878906,42.849998474121094,42.95000076293945,18620621
2023-01-25,39.25970458984375,43.70000076293945,43.900001525878906,42.70000076293945,43.349998474121094,9572483
2023-01-27,38.81050491333008,43.20000076293945,44.400001525878906,42.79999923706055,43.70000076293945,23094255
2023-01-30,38.94527053833008,43.349998474121094,43.650001525878906,42.70000076293945,43.45000076293945,15328264
2023-01-31,39.43938446044922,43.900001525878906,44.20000076293945,43.20000076293945,43.5,11448791
2023-02-01,38.091793060302734,42.400001525878906,44.349998474121094,42.0,44.29999923706055,11853979
2023-02-02,37.507835388183594,41.75,43.5,40.900001525878906,42.45000076293945,11552133
2023-02-03,36.834041595458984,41.0,42.400001525878906,40.45000076293945,41.900001525878906,12164558
2023-02-06,36.96880340576172,41.150001525878906,41.400001525878906,40.900001525878906,41.25,5174828
2023-02-07,36.115325927734375,40.20000076293945,41.79999923706055,39.75,41.400001525878906,7830467
2023-02-08,36.070411682128906,40.150001525878906,40.29999923706055,39.849998474121094,40.150001525878906,9835460
2023-02-09,36.60944747924805,40.75,40.95000076293945,39.849998474121094,40.29999923706055,7944176
2023-02-10,35.93565368652344,40.0,40.75,40.0,40.400001525878906,5075707
2023-02-13,35.98057174682617,40.04999923706055,40.29999923706055,39.95000076293945,40.0,6229293
2023-02-14,36.02549362182617,40.099998474121094,40.29999923706055,39.79999923706055,40.20000076293945,3022835
2023-02-15,36.60944747924805,40.75,40.900001525878906,40.150001525878906,40.150001525878906,4745356
2023-02-16,36.78912353515625,40.95000076293945,41.099998474121094,40.400001525878906,40.95000076293945,4387134
2023-02-17,37.20771026611328,40.0,40.599998474121094,39.75,39.900001525878906,5572185
2023-02-20,36.27751922607422,39.0,40.0,38.75,39.79999923706055,8224954
2023-02-21,36.37053680419922,39.099998474121094,39.599998474121094,38.54999923706055,39.04999923706055,9370466
2023-02-22,36.04497146606445,38.75,39.400001525878906,38.599998474121094,39.0,4808757
2023-02-23,35.99845886230469,38.70000076293945,39.20000076293945,38.54999923706055,38.849998474121094,3465047
2023-02-24,35.90544128417969,38.599998474121094,39.099998474121094,38.29999923706055,38.70000076293945,6350314
2023-02-27,35.71940231323242,38.400001525878906,39.099998474121094,37.75,38.599998474121094,12745906
2023-02-28,36.417049407958984,39.150001525878906,40.400001525878906,38.04999923706055,39.099998474121094,10698085
2023-03-01,37.30073165893555,40.099998474121094,40.5,39.150001525878906,39.45000076293945,10897703
2023-03-02,37.34724044799805,40.150001525878906,40.45000076293945,39.849998474121094,40.20000076293945,6243216
2023-03-03,37.02166748046875,39.79999923706055,40.75,39.70000076293945,40.400001525878906,7996805
2023-03-06,37.16120147705078,39.95000076293945,40.70000076293945,39.150001525878906,39.95000076293945,11198659
2023-03-08,38.74252700805664,41.650001525878906,41.79999923706055,39.900001525878906,39.900001525878906,16875862
2023-03-09,37.951866149902344,40.79999923706055,41.900001525878906,40.54999923706055,41.900001525878906,5386529
2023-03-10,38.184410095214844,41.04999923706055,41.349998474121094,39.900001525878906,40.5,5220866
2023-03-13,37.44025421142578,40.25,41.150001525878906,39.900001525878906,41.0,6647383
2023-03-14,37.39375305175781,40.20000076293945,40.75,39.900001525878906,40.25,5564064
2023-03-15,38.23092269897461,41.099998474121094,41.349998474121094,40.29999923706055,40.400001525878906,6460098
2023-03-16,37.81233596801758,40.650001525878906,41.349998474121094,40.29999923706055,41.099998474121094,5797687
2023-03-17,38.882057189941406,41.79999923706055,43.0,40.75,40.75,32174970
2023-03-20,37.62629699707031,40.45000076293945,41.849998474121094,40.20000076293945,41.79999923706055,7908860
2023-03-21,37.20771026611328,40.0,41.20000076293945,39.79999923706055,40.75,8124382
