Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,23121.19140625,23454.69921875,23519.94921875,23139.0,23296.5,23428
2023-01-03,23395.482421875,23732.94921875,23789.69921875,23452.0,23470.0,20755
2023-01-04,23666.181640625,24007.55078125,24590.0,23660.0,23699.94921875,94884
2023-01-05,23893.3515625,24238.0,24379.75,23904.69921875,24129.94921875,44843
2023-01-06,23513.875,23853.05078125,24366.650390625,23552.099609375,24300.0,28542
2023-01-09,23414.55859375,23752.30078125,24048.0,23663.0,23972.349609375,17654
2023-01-10,23224.5,23559.5,23900.0,23205.0,23840.0,31716
2023-01-11,23182.30859375,23516.69921875,23771.94921875,23250.0,23600.0,19213
2023-01-12,23515.65234375,23854.849609375,24000.0,23504.55078125,23530.0,37645
2023-01-13,23796.5,24139.75,24290.25,23750.0,23998.0,42213
2023-01-16,23718.279296875,24060.400390625,24280.0,23980.5,24120.0,25269
2023-01-17,23748.986328125,24091.55078125,24194.400390625,23930.650390625,24000.0,18810
2023-01-18,23717.787109375,24059.900390625,24138.599609375,23817.0,24015.05078125,22616
2023-01-19,24042.69921875,24389.5,24480.0,23849.900390625,24000.0,28281
2023-01-20,24073.703125,24420.94921875,24773.0,24200.0,24350.0,44330
2023-01-23,22709.48046875,23037.05078125,24549.5,22945.0,24449.94921875,67600
2023-01-24,22286.92578125,22608.400390625,23347.69921875,22440.05078125,23152.25,84528
2023-01-25,21831.888671875,22146.80078125,22792.599609375,22002.05078125,22650.0,47092
2023-01-27,21589.779296875,21901.19921875,22379.900390625,21410.0,22257.55078125,52018
2023-01-30,22264.203125,22585.349609375,22730.0,21860.0,21860.0,54148
2023-01-31,23347.7734375,23684.55078125,23743.599609375,22704.19921875,22704.19921875,82554
2023-02-01,23576.8671875,23916.94921875,24670.0,23450.0,23740.19921875,111351
2023-02-02,24174.544921875,24523.25,24699.900390625,23750.0,23850.0,72967
2023-02-03,24119.6875,24467.599609375,24742.80078125,24270.0,24500.0,54355
2023-02-06,23777.96484375,24120.94921875,24359.94921875,24000.0,24318.94921875,30089
2023-02-07,23917.255859375,24262.25,24410.0,24025.0,24132.0,38892
2023-02-08,23895.2734375,24239.94921875,24604.849609375,23750.0,24368.849609375,81785
2023-02-09,22869.916015625,23199.80078125,24150.0,23090.5,23960.0,72685
2023-02-10,23629.75390625,23970.599609375,24074.0,22752.0,23292.5,70017
2023-02-13,23850.373046875,24194.400390625,24550.0,23812.400390625,23999.0,77436
2023-02-14,24284.509765625,24634.80078125,24729.0,24061.75,24145.80078125,75478
2023-02-15,24536.625,24890.55078125,25000.0,24290.05078125,24560.0,54111
2023-02-16,24805.291015625,25117.599609375,25175.0,24830.0,24904.0,50403
2023-02-17,25437.13671875,25757.400390625,26050.05078125,24830.25,24950.0,132205
2023-02-20,26183.244140625,26512.900390625,26925.94921875,25540.0,25600.0,187893
2023-02-21,26201.01953125,26530.900390625,27049.0,26317.5,26460.05078125,128006
2023-02-22,25888.94921875,26214.900390625,26530.0,25875.0,26530.0,93446
2023-02-23,25315.912109375,25634.650390625,26499.150390625,25588.0,26219.94921875,78884
2023-02-24,25096.822265625,25412.80078125,25875.0,25200.0,25750.0,31612
2023-02-27,25326.185546875,25645.05078125,26004.900390625,24880.0,25350.0,38186
