Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,564.937744140625,570.2999877929688,571.4000244140625,561.25,565.0,841928
2023-01-03,589.9998168945312,595.5999755859375,600.0,569.5,570.0,10096217
2023-01-04,592.9716186523438,598.5999755859375,609.9000244140625,595.0,599.0,7722662
2023-01-05,603.7196044921875,609.4500122070312,612.4000244140625,598.0,600.0,5704967
2023-01-06,605.8988647460938,611.6500244140625,620.5999755859375,605.6500244140625,608.0,5415866
2023-01-09,602.72900390625,608.4500122070312,618.0499877929688,601.75,615.0499877929688,3969535
2023-01-10,594.5565795898438,600.2000122070312,613.0499877929688,599.5499877929688,608.5,4073524
2023-01-11,594.2098999023438,599.8499755859375,605.5499877929688,594.3499755859375,600.0,3576811
2023-01-12,592.7735595703125,598.4000244140625,605.7999877929688,594.5999755859375,602.4500122070312,2358813
2023-01-13,598.8161010742188,604.5,607.5999755859375,596.3499755859375,599.4500122070312,3272285
2023-01-16,598.51904296875,604.2000122070312,612.5999755859375,599.8499755859375,605.0,2170216
2023-01-17,603.7196044921875,609.4500122070312,610.5999755859375,601.2000122070312,607.0,1807515
2023-01-18,595.3985595703125,601.0499877929688,610.0499877929688,598.4500122070312,610.0,3291651
2023-01-19,599.55908203125,605.25,611.0,600.75,601.1500244140625,3615736
2023-01-20,584.997314453125,590.5499877929688,608.4000244140625,588.25,608.0,4255202
2023-01-23,583.6600341796875,589.2000122070312,596.4500122070312,585.2000122070312,595.0,3884783
2023-01-24,584.0066528320312,589.5499877929688,594.75,588.1500244140625,591.0,2219052
2023-01-25,579.549072265625,585.0499877929688,591.75,580.0999755859375,590.0,1443501
2023-01-27,582.174072265625,587.7000122070312,593.9000244140625,578.0499877929688,586.4500122070312,3632289
2023-01-30,582.4218139648438,587.9500122070312,592.3499755859375,583.2999877929688,586.7999877929688,2843943
2023-01-31,573.4073486328125,578.8499755859375,589.5,572.9500122070312,587.9500122070312,3073978
2023-02-01,510.8511047363281,515.7000122070312,584.6500244140625,502.3500061035156,582.9000244140625,22671272
2023-02-02,488.0673828125,492.70001220703125,505.25,483.04998779296875,499.0,17269387
2023-02-03,484.3031005859375,488.8999938964844,499.0,481.0,496.0,10593983
2023-02-06,477.5174560546875,482.04998779296875,489.75,473.70001220703125,487.0,7441590
2023-02-07,478.4090270996094,482.95001220703125,491.5,482.0,483.8999938964844,7117626
2023-02-08,503.7683410644531,508.54998779296875,510.29998779296875,483.5,484.79998779296875,10571918
2023-02-09,513.7734375,518.6500244140625,522.7000122070312,502.20001220703125,508.54998779296875,9516815
2023-02-10,517.6366577148438,522.5499877929688,528.4000244140625,518.2999877929688,519.7999877929688,7239045
2023-02-13,509.662353515625,514.5,526.0,512.1500244140625,522.5499877929688,3063664
2023-02-14,507.23541259765625,512.0499877929688,517.4500122070312,507.6499938964844,515.4000244140625,2233957
2023-02-15,514.2191162109375,519.0999755859375,520.0,509.6499938964844,510.75,2497424
2023-02-16,509.76141357421875,514.5999755859375,522.0,512.7000122070312,519.0,1983991
2023-02-17,499.5087890625,504.25,514.5499877929688,501.5,514.5499877929688,4312084
2023-02-20,503.1739807128906,507.95001220703125,522.75,500.25,506.29998779296875,6129396
2023-02-21,496.3388366699219,501.04998779296875,514.7999877929688,500.04998779296875,510.8999938964844,2669387
2023-02-22,489.8009033203125,494.45001220703125,501.75,492.5,500.6000061035156,2728046
2023-02-23,482.2723388671875,486.8500061035156,494.95001220703125,486.1499938964844,494.45001220703125,4158416
2023-02-24,478.3099670410156,482.8500061035156,490.0,482.0,488.5,2436219
2023-02-27,484.10498046875,488.70001220703125,490.8999938964844,478.0,482.8500061035156,2587409
2023-02-28,484.2040100097656,488.79998779296875,491.70001220703125,484.54998779296875,490.8999938964844,3271808
2023-03-01,485.14508056640625,489.75,490.8500061035156,484.3999938964844,488.8999938964844,1591916
2023-03-02,478.2604064941406,482.79998779296875,491.25,481.6499938964844,490.0,2618651
2023-03-03,485.3432312011719,489.95001220703125,492.54998779296875,481.6000061035156,485.29998779296875,2983486
2023-03-06,485.54132080078125,490.1499938964844,496.75,489.0,492.0,3007451
2023-03-08,490.5438537597656,495.20001220703125,496.3500061035156,488.0,490.0,5589817
2023-03-09,486.6310119628906,491.25,496.6000061035156,490.0,495.0,2336282
2023-03-10,485.640380859375,490.25,491.1499938964844,484.20001220703125,487.54998779296875,2383642
2023-03-13,474.4466247558594,478.95001220703125,495.5,477.29998779296875,490.0,2849642
2023-03-14,466.1256408691406,470.54998779296875,485.3500061035156,468.75,480.45001220703125,8530038
2023-03-15,462.31182861328125,466.70001220703125,478.45001220703125,465.1000061035156,473.04998779296875,6095528
2023-03-16,457.0616455078125,461.3999938964844,469.0,457.79998779296875,466.70001220703125,6790599
2023-03-17,466.81903076171875,471.25,477.29998779296875,464.0,464.04998779296875,7640040
2023-03-20,460.8754577636719,465.25,471.3999938964844,458.1000061035156,470.0,3937830
2023-03-21,478.2109069824219,482.75,484.0,466.5,467.0,4363583
2023-03-22,492.772705078125,497.45001220703125,498.5,483.0,483.0,5604187
2023-03-23,493.8623352050781,498.54998779296875,505.0,494.1499938964844,497.45001220703125,4489138
2023-03-24,487.62158203125,492.25,501.8999938964844,481.6000061035156,494.5,6424544
2023-03-27,488.31500244140625,492.95001220703125,499.45001220703125,486.6499938964844,486.6499938964844,2412510
2023-03-28,485.0955810546875,489.70001220703125,498.5,486.8500061035156,495.45001220703125,2494157
2023-03-29,491.28680419921875,495.95001220703125,498.0,486.70001220703125,491.29998779296875,3137010
2023-03-31,494.5062255859375,499.20001220703125,501.20001220703125,495.0,497.0,3459342
2023-04-03,498.96392822265625,503.70001220703125,508.5,501.25,502.04998779296875,2394944
